,userId,movieId,rating,timestamp
10655778,73749,3863,4.5,2005-03-24 06:41:27
8386330,57879,480,4.0,2012-02-11 22:22:08
2747298,18611,6663,1.0,2005-11-17 08:36:04
17910462,123834,47,3.0,1996-07-31 17:01:36
3348164,22899,47,5.0,2003-05-21 16:01:21
11172310,77159,610,4.0,2007-10-15 20:23:47
15563935,107626,7706,4.5,2007-02-15 23:43:54
17788070,122984,3623,2.5,2007-05-10 00:25:15
14232068,98285,1270,3.0,2002-08-15 22:51:46
11353299,78392,6155,3.0,2006-01-20 14:44:55
16106282,111472,904,5.0,2010-10-21 15:06:22
1532383,10371,3005,5.0,2003-01-29 17:52:05
993504,6717,88810,3.0,2014-03-05 13:28:54
7004611,48298,122,3.0,1996-07-06 05:36:44
13073109,90272,1089,4.0,2000-05-03 16:44:54
708602,4706,280,4.0,1996-06-18 01:56:13
14680000,101411,2797,5.0,1999-12-04 22:08:37
4950074,34078,880,1.0,2000-01-14 05:18:05
6070105,41818,2072,5.0,2005-11-08 14:08:10
19514399,135033,5442,1.0,2004-03-09 01:35:09
2623843,17807,1028,3.0,1997-11-21 11:03:04
10270314,71036,4210,4.0,2009-01-14 03:17:10
10952384,75749,4744,4.5,2008-03-23 22:11:40
14860072,102671,33166,2.0,2006-06-20 21:05:52
1023696,6927,180,4.0,2003-04-07 04:24:49
8326744,57476,18,4.0,1997-01-29 19:47:01
18616394,128868,4835,3.5,2011-07-03 02:29:12
7688379,52930,5025,4.0,2003-11-26 03:47:06
8742067,60398,5528,4.0,2005-02-04 21:50:22
18946099,131129,3671,4.5,2012-06-02 18:39:22
13943704,96341,105053,3.0,2014-04-20 04:39:30
18352760,127006,2617,4.0,2004-04-05 18:38:35
15673305,108365,1682,4.5,2003-10-23 19:36:13
12967425,89500,6016,5.0,2014-11-29 23:01:47
12505525,86409,908,4.0,2000-12-07 20:18:49
15067817,104043,5139,2.0,2002-02-27 20:50:37
18981148,131347,4732,2.0,2006-02-26 23:41:03
8897673,61503,318,4.0,1997-01-27 12:22:48
15363568,106248,1089,5.0,2000-11-20 20:16:05
8191783,56472,2700,4.5,2006-02-09 23:52:49
11432621,78936,4474,4.0,2003-12-31 09:02:18
2239557,15208,33660,3.0,2009-05-25 11:39:39
16212843,112204,1089,4.5,2008-02-18 15:26:35
15269768,105558,743,1.0,2010-11-30 02:13:29
14534912,100418,2324,4.0,2002-01-14 02:46:35
11088509,76630,778,3.0,2012-05-19 16:04:34
6679938,45980,4205,3.0,2001-03-15 00:02:32
14568721,100635,3421,3.5,2006-08-27 04:57:09
1972265,13376,368,4.0,2000-11-03 03:15:57
13118218,90617,60684,5.0,2011-08-08 03:48:52
17758007,122762,1283,4.0,1998-08-05 22:39:33
6765465,46549,3061,2.0,1999-12-12 07:41:38
17407344,120411,214,5.0,2001-12-01 19:01:57
13091517,90425,172,2.5,2011-01-11 10:16:37
8840825,61085,1387,2.0,2005-03-22 10:16:08
18914740,130908,1269,4.0,2014-06-27 19:02:54
18052547,124858,5782,4.0,2007-07-09 14:41:17
15332134,106030,4878,4.5,2007-12-04 02:43:55
5035155,34576,27192,2.5,2010-07-18 00:45:21
16164424,111881,1616,3.0,2004-03-04 04:22:11
6275736,43147,79702,4.5,2012-10-22 13:31:39
13488263,93187,1732,4.0,2000-11-21 19:10:56
11064670,76481,141,4.0,2001-07-19 01:51:38
12506199,86412,2706,5.0,2000-01-23 05:23:19
4424469,30223,2644,3.0,2006-12-17 22:38:55
5132810,35134,47,2.0,2006-12-22 01:08:49
17832184,123313,4056,5.0,2001-01-30 15:05:04
11099504,76688,3210,4.0,2000-06-18 08:40:56
5603323,38555,1303,4.0,1998-12-09 15:54:52
10112053,69936,4034,5.0,2001-09-25 00:05:05
7156501,49321,208,1.5,2004-04-05 04:42:52
575103,3863,3408,5.0,2001-10-11 19:42:13
16880127,116731,529,5.0,1999-10-06 20:13:06
4689937,32190,204,4.0,2000-11-21 13:47:50
4465983,30530,481,3.5,2009-08-25 04:54:30
9241672,63861,2141,4.0,2000-11-23 21:32:28
8802473,60841,1784,3.0,2013-04-02 22:32:28
1424106,9618,1036,2.0,2000-07-15 20:19:32
17275053,119460,1682,4.0,1999-11-05 09:12:25
13872929,95865,356,5.0,2009-04-17 23:56:12
11547505,79706,1777,4.0,2004-10-21 02:27:18
17936850,124044,1370,5.0,2006-11-08 18:55:23
5823022,40069,539,4.5,2006-10-11 19:39:56
12743355,88052,648,2.0,1998-01-06 17:47:43
